Period,?깅줉Period,援щ텇,SO_ID,Customer name,Customer PO,Item name,OS name,Expected delivery date,AX Period,AX Project number,Sector,Business registration number,Industry code,Value_Start_qty,Value_Input_qty,Value_Output_qty,Value_Variance_qty,Value_Ending_qty,Value_Start_amount,Value_Input_amount,Value_Output_amount,Value_Variance_amount,Value_Ending_amount
Mar-26,Jan-26,援?궡,SOD-2026-0075,?붿씠?먯뒪 二쇱떇?뚯궗,2026-01-22-CH-05,DA-001A NOS185-M(FAIL CLOSE),NOD/NOS,2026-03-04 0:00,Feb-26,82-15871.001,CPI,615-81-88675,89,8,0,0,0,8,8020000,0,0,0,8020000
Mar-26,Jan-26,援?궡,SOD-2026-0113,(二???뺣갭釉??쒖슱),IQ-26012003,SBWG-02DCM,Other Elec,2026-04-15 0:00,Feb-26,82-15856.001,CPI,113-81-65249,85,1,0,0,0,1,540000,0,0,0,540000
Mar-26,Feb-26,援?궡,SOD-2026-0119,(二??쇱떊,PO-4-25-1126-0012 Rev.0,Remote_MA01_0.4kW_ON-OFF,MA,2026-03-27 0:00,Feb-26,82-15858.001,WAPO,312-81-03840,51,27,0,0,0,27,73890000,0,0,0,73890000
Mar-26,Feb-26,援?궡,SOD-2026-0119,(二??쇱떊,PO-4-25-1126-0012 Rev.0,Remote_MA06_30kW_?꾩땐??ON-OFF,MA,2026-04-20 0:00,Feb-26,82-15858.001,WAPO,312-81-03840,51,2,0,0,0,2,69300000,0,0,0,69300000
Mar-26,Feb-26,援?궡,SOD-2026-0120,(二??쇱떊,PO-4-25-1126-0013 Rev.0,STANDARD_MA01_0.2kW_INCHING,MA,2026-03-30 0:00,Feb-26,82-15860.001,WAPO,312-81-03840,51,30,0,0,0,30,58300000,0,0,0,58300000
Mar-26,Feb-26,援?궡,SOD-2026-0121,(二??쇱떊,PO-4-25-1125-0011 Rev.0,MA01_0.2kW_19RPM,MA,2026-03-09 0:00,Feb-26,82-15854.001,WAPO,312-81-03840,51,60,0,0,0,60,156364000,0,0,0,156364000
Mar-26,Feb-26,援?궡,SOD-2026-0126,(二?鍮꾩???PO20260100537,NA015,Noah NA,2026-05-26 0:00,Feb-26,82-15846.001,CPI,622-81-02020,87,4,0,0,0,4,2800000,0,0,0,2800000,
Mar-26,Feb-26,援?궡,SOD-2026-0142,二쇱떇?뚯궗 ?쇱뿞?먯뒪,SP2601-011 (1-017),MA02_1.5kW_19.2RPM_PCU,MA,2026-04-22 0:00,Feb-26,82-15888.001,CPI,610-86-15639,85,3,0,0,0,3,10190000,0,0,0,10190000
Mar-26,Feb-26,援?궡,SOD-2026-0142,二쇱떇?뚯궗 ?쇱뿞?먯뒪,SP2601-011 (1-017),MA02_1.5kW_19.2RPM_PCU,MA,2026-05-11 0:00,Feb-26,82-15888.001,CPI,610-86-15639,85,4,0,0,0,4,12200000,0,0,0,12200000
Mar-26,Feb-26,援?궡,SOD-2026-0146,二쇱떇?뚯궗 ?곗뿉?ㅻ꽖?ㅼ젨,O6F05HS-01,"Solenoid valve,ALDC-7745903",FP Spares,2026-03-05 0:00,Feb-26,82-15776.001,WAPO,261-85-00499,40,6,0,6,0,0,684000,0,684000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0147,二쇱떇?뚯궗 ?곗뿉?ㅻ꽖?ㅼ젨,O6F05HS-02,"act seal,ALDC-7746981(NOAH-125-SEAL)",FP Spares,2026-03-05 0:00,Feb-26,82-15778.001,WAPO,261-85-00499,40,9,0,9,0,0,1879000,0,1879000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0148,二쇱떇?뚯궗 ?곗뿉?ㅻ꽖?ㅼ젨,O6F05HS-03,"Solenoid valve,ALDC-7750491",FP Spares,2026-03-05 0:00,Feb-26,82-15781.001,WAPO,261-85-00499,40,3,0,3,0,0,180000,0,180000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0152,二쇱떇?뚯궗 ?꾩씠?붿뵪肄붾━??I&C KOREA Inc.),INCO-260205-119,Lock-up Valve: IL-201-02 / SMC,FP Spares,2026-04-25 0:00,Feb-26,82-15914.001,CPI,238-87-02400,79,1,0,0,0,1,126000,0,0,0,126000
Mar-26,Feb-26,援?궡,SOD-2026-0152,二쇱떇?뚯궗 ?꾩씠?붿뵪肄붾━??I&C KOREA Inc.),INCO-260205-119,NOS250-MS-FC-I,NOD/NOS,2026-04-25 0:00,Feb-26,82-15914.001,CPI,238-87-02400,79,1,0,0,0,1,4770000,0,0,0,4770000
Mar-26,Feb-26,援?궡,SOD-2026-0154,(二??곗뿞?꾩씠,TP-260206-05,NA015 PCU,Noah NA,2026-03-06 0:00,Feb-26,82-16046.001,CPI,606-81-95134,87,1,0,1,0,0,850000,0,850000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0156,二쇱떇?뚯궗 釉뚯씠?곗뿕,VT-C35-251128-01-12,"NOS100-M+SBWG-0DCM F10, ?ш컖22",NOD/NOS,2026-03-08 0:00,Feb-26,82-15906.001,CPI,775-88-01381,87,4,0,0,0,4,1852000,0,0,0,1852000
Mar-26,Feb-26,援?궡,SOD-2026-0159,?ㅽ넗諛몃툕,,SA005,SA,2026-03-01 0:00,Feb-26,82-15928.001,OG,117-81-76942,21,20,0,20,0,0,3000000,0,3000000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0161,MT. H肄섑듃濡ㅻ갭釉뚯＜?앺쉶??P20260209010,NA015 PCU+LCU,Noah NA,2026-04-07 0:00,Feb-26,82-15960.001,CPI,603-81-33920,87,6,0,0,0,6,6600000,0,0,0,6600000,
Mar-26,Feb-26,援?궡,SOD-2026-0162,??꾧툑??二?,02월 02일,NOD80 with LS,NOD/NOS,2026-03-06 0:00,Feb-26,82-15907.001,CPI,106-81-52300,85,2,0,2,0,0,504000,0,504000,0,0
